0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:35:15 +0800] "GET /Int_Prog_2/register?page=register HTTP/1.1" 200 3168
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:35:21 +0800] "POST /Int_Prog_2/register HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:35:21 +0800] "GET /Int_Prog_2/employee?id=30 HTTP/1.1" 200 3314
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:35:21 +0800] "GET /Int_Prog_2/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:35:25 +0800] "POST /Int_Prog_2/update HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:35:25 +0800] "GET /Int_Prog_2/employee?id=30 HTTP/1.1" 200 3314
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:35:27 +0800] "POST /Int_Prog_2/update HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:35:27 +0800] "GET /Int_Prog_2/employee?id=30 HTTP/1.1" 200 3317
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:35:29 +0800] "GET /Int_Prog_2/employee?page=view HTTP/1.1" 200 4046
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:35:32 +0800] "GET /Int_Prog_2/delete?id=30 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:35:32 +0800] "GET /Int_Prog_2/employee HTTP/1.1" 200 3439
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:35:32 +0800] "GET /Int_Prog_2/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:35:33 +0800] "GET /Int_Prog_2/delete?id=29 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:35:33 +0800] "GET /Int_Prog_2/employee HTTP/1.1" 200 2859
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:35:34 +0800] "GET /Int_Prog_2/employee HTTP/1.1" 200 2859
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:35:37 +0800] "GET /Int_Prog_2?page=home HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:35:37 +0800] "GET /Int_Prog_2/?page=home HTTP/1.1" 200 4146
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:36:05 +0800] "GET /Int_Prog_2/?page=home HTTP/1.1" 200 4172
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:36:05 +0800] "GET /Int_Prog_2/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:36:06 +0800] "GET /Int_Prog_2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:36:06 +0800] "GET /Int_Prog_2/ HTTP/1.1" 200 4165
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:36:06 +0800] "GET /Int_Prog_2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:36:06 +0800] "GET /Int_Prog_2/ HTTP/1.1" 200 4165
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:36:13 +0800] "GET /Int_Prog_2?page=home HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:36:13 +0800] "GET /Int_Prog_2/?page=home HTTP/1.1" 200 4182
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:36:14 +0800] "GET /Int_Prog_2/?page=home HTTP/1.1" 200 4182
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:36:15 +0800] "GET /Int_Prog_2?page=home HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:36:15 +0800] "GET /Int_Prog_2/?page=home HTTP/1.1" 200 4182
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:36:15 +0800] "GET /Int_Prog_2?page=home HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:36:15 +0800] "GET /Int_Prog_2/?page=home HTTP/1.1" 200 4182
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:36:16 +0800] "GET /Int_Prog_2/register?page=register HTTP/1.1" 200 3204
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:36:16 +0800] "GET /Int_Prog_2?page=home HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:36:16 +0800] "GET /Int_Prog_2/?page=home HTTP/1.1" 200 4182
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:36:17 +0800] "GET /Int_Prog_2/register?page=register HTTP/1.1" 200 3204
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:36:17 +0800] "GET /Int_Prog_2/employee?page=view HTTP/1.1" 200 2902
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:36:18 +0800] "GET /Int_Prog_2?page=home HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:36:18 +0800] "GET /Int_Prog_2/?page=home HTTP/1.1" 200 4182
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:36:19 +0800] "GET /Int_Prog_2/register?page=register HTTP/1.1" 200 3204
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:36:19 +0800] "GET /Int_Prog_2/employee?page=view HTTP/1.1" 200 2902
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:36:19 +0800] "GET /Int_Prog_2?page=home HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:36:19 +0800] "GET /Int_Prog_2/?page=home HTTP/1.1" 200 4182
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:36:21 +0800] "GET /Int_Prog_2/register?page=register HTTP/1.1" 200 3204
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:36:21 +0800] "GET /Int_Prog_2/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:36:21 +0800] "GET /Int_Prog_2?page=home HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:36:21 +0800] "GET /Int_Prog_2/?page=home HTTP/1.1" 200 4182
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:36:22 +0800] "GET /Int_Prog_2?page=home HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:36:22 +0800] "GET /Int_Prog_2/?page=home HTTP/1.1" 200 4182
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:36:22 +0800] "GET /Int_Prog_2/register?page=register HTTP/1.1" 200 3204
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:36:22 +0800] "GET /Int_Prog_2?page=home HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:36:22 +0800] "GET /Int_Prog_2/?page=home HTTP/1.1" 200 4182
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:36:23 +0800] "GET /Int_Prog_2/register?page=register HTTP/1.1" 200 3204
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:36:23 +0800] "GET /Int_Prog_2/employee?page=view HTTP/1.1" 200 2902
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:36:24 +0800] "GET /Int_Prog_2?page=home HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:36:24 +0800] "GET /Int_Prog_2/?page=home HTTP/1.1" 200 4182
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:36:25 +0800] "GET /Int_Prog_2/register?page=register HTTP/1.1" 200 3204
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:36:25 +0800] "GET /Int_Prog_2/employee?page=view HTTP/1.1" 200 2902
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:36:26 +0800] "GET /Int_Prog_2?page=home HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:36:26 +0800] "GET /Int_Prog_2/?page=home HTTP/1.1" 200 4182
